Title,Subject,Author
Alice's Adventures in Wonderland,"Alice (fictitious character : carroll), fiction,British and irish fiction (fictional works by one author),Fiction, fantasy, general,JUVENILE FICTION,classics,Fantasy & Magic,Imagination & Play,adventure and adventurers,adventure and adventurers, fiction,adventure stories,adventure travel,animals,anthropomorphism,artists' illustrated books,books and reading,child and youth fiction,children,children's fiction,children's literature,children's literature, english,children's stories,children's stories, english,classic literature,coloring books,croquet,cuentos infantiles ingleses,curiosidad,curiosidad en los niños,curiosity,curiosity in children,english,english adventure stories,english fantastic fiction,english fantasy fiction,english fantasy literature,english language,english literature,english nonsense verses,fairy tales,fantasy,fantasy fiction,fantasy in fiction,fantasy  magic,fantasía,ficción juvenil,fiction,friendship,girls,girls, fiction,hookahs,humor,humorous stories,illustrations,imaginary places,juvenile literature,legends,literary nonsense,logic,lugares imaginarios,mythical animals,niñas,nonsense verses,novela,novela fantástica,novela juvenil,open library staff picks,picture books,playing cards,rabbits,readers,reading materials,short novel,tea,texts,Alice (Fictitious character : Carroll),English language, textbooks for foreign speakers,Fantastique,Enfants,Affirmation de soi,Spanish language materials,Alicia (Personaje literario : Carroll),Spanish language,nyt:chapter-books=2010-02-21,New York Times bestseller,Literatura infanto-juvenil,Literatura inglesa,Carroll, lewis, 1832-1898,Children's literature, history and criticism,Children, books and reading,Crocheting,Fiction, general,Fantasy fiction, history and criticism,Toy and movable books,Imagination,Textbooks for foreign speakers,Readers for new literates,High interest-low vocabulary books,CUENTO INFANTIL INGLES,History and criticism,Translations into Irish,Irish literature,Swahili language,Accessible book,Protected DAISY,Internet Archive Wishlist,Ficc ʹa o (ge nero),Shi jie wen xue,Xiao shuo,Fantasi a,Tong hua,Suo xie,Shao er du wu,Pin yin du wu,Children's stories, Chinese,Chinese language,Translations into Polish,Ying yu,Yu yan du wu,Large type books,Decision making,Juvenile Wit and humor,Conduct of life,Illusion (Philosophy),Innocence (Psychology),Dreams,Courts and courtiers,Theft,Courts,Curiosité,Romans, nouvelles, etc. pour la jeunesse,Prise de décision,Humour pour la jeunesse,Morale pratique,Lieux imaginaires,Illusion (Philosophie),Rêves,Cartes à jouer,Cours et courtisans,Croquet (Jeu),Vol (Droit),Tribunaux,Histoires pour enfants anglaises,Literature, collections,Fiction, short stories (single author),Contes de fées,English fiction,Translations into Ladino,Nonsense literature,Fantasmes,Dinosaurier,Utdöda djur,Urtidsdjur,Forntiden,Geologi,Evolution,Jorden,Fantastiske fortællinger,Translations into Yiddish,Criticism and interpretation,History,Russian fiction,Fiction","[{'key': '/authors/OL22098A', 'name': 'Lewis Carroll'}]"
The Wonderful Wizard of Oz,"Witches,Toy and movable books,Spanish language materials,Fiction,Wizards,Juvenile literature,Wizards in fiction,Children's stories, Russian,Specimens,Imaginary voyages in fiction,Classic Literature,Imaginary Voyages,Children's stories, American,Adventure and adventurers,Open Library Staff Picks,Books and reading,Children's stories,Witches in fiction,History,Juvenile fiction,Latin language materials,Fairy tales,Children,Contes americains,Ouvrages pour la jeunesse,Fantasy,Fantasy fiction,Fantastic fiction,Novela fantástica,Fantasía,Teenage girls,Quests (Expeditions),Oz (Imaginary place),Children's fiction,Oz (imaginary place), fiction,Fiction, fantasy, general,Young adult fiction,Fiction, science fiction, general,Wizards, fiction,Fantasy & Magic,Classics,Literature and fiction, juvenile,American Fantasy fiction,History and criticism,Large type books,Dorothy Gale (Fictional character),French language materials,American literature,Children: Babies Toddlers,Wizard of Oz (Fictitious character),Friendship,Courage,Adventure stories,Dorothy Gale (Fictitious character),Children's literature,General,Contes américains,Roman pour la jeunesse,Contes,Tong hua,Er tong wen xue,Han yu pin yin,Er tong du wu,Translations into Chinese,Suo xie ben,Chinese language materials,Ying yu,Dui zhao du wu,Han yu,Pictorial works,Robots, fiction,Science fiction,Criticism and interpretation,Wizard of Oz (Baum, L. Frank),Fiction, general,Film adaptations,Oz (Imaginary place) -- Juvenile fiction,Fantasy literature,Courage -- Juvenile fiction,Home -- Juvenile fiction,Good and evil -- Juvenile fiction,Dreams -- Juvenile fiction,Gale, Dorothy (Fictitious character) -- Juvenile fiction,Cowardly Lion (Fictitious character) -- Juvenile fiction,Cyclones -- Juvenile fiction,Scarecrow (Fictitious character from Baum) -- Juvenile fiction,Toto (Fictitious character) -- Juvenile fiction,Witches -- Juvenile fiction,Wizard of Oz (Fictitious character) -- Juvenile fiction,Tin Woodman (Fictitious character) -- Juvenile fiction,Adventure and adventurers, fiction,Witches, fiction,Scarecrow (Fictitious character : Baum),Tin Woodman (Fictitious character),Cowardly Lion (Fictitious character),Oz (Lieu imaginaire),Romans, nouvelles, etc. pour la jeunesse,Friendship, fiction,People with disabilities, fiction,Great britain, fiction,American fiction (fictional works by one author),Picture books,Fables","[{'key': '/authors/OL9348793A', 'name': 'L. Frank Baum'}]"
Avventure di Pinocchio,"Accessible book,Fantasy,Puppets,Fiction,Fairy tales,Children's stories, Italian,Latin language,Readers,dormice,ringmasters,glowworrms,weasels,hanging,falcons,poodles,stagecoaches,owls,crows,funeral directors,rabbits,carpenters,Carabinieri,blackbirds,Classic Literature,Folklore,Illustrations,Italian language,Juvenile fiction,Juvenile literature,Puppet plays,boy,fairy tale,puppet,Ficción,Cuentos de hadas,Títeres,Children: Grades 1-2,Children's fiction,Adventure and adventurers, fiction,Pinocchio (fictitious character), fiction,Puppets, fiction,Fiction, fantasy, general,Italy, fiction,Contes,Pinocchio (Fictitious character),Specimens,Toy and movable books,Fairy tales.,Puppets -- Fiction.,Tong hua,General,Children's stories,Spanish language materials,Marionetas,Marionettes,Materiales en español,Honradez,Ficción juvenil,Verdad y mentira,Truthfulness and falsehood,Honesty,Padre e hijos,Fathers and sons,Titeres,Novela,Literatura infantil,Audio: Juvenile,Child and youth fiction,Pictorial works,Novela juvenil,Spanish language books,Spanish language,Children's literature,Italian,England, fiction,Fathers and daughters, fiction,Fiction, humorous, general,British and irish fiction (fictional works by one author),Friendship, fiction,Young women, fiction,Picture books,Italian language materials,Fantasy fiction","[{'key': '/authors/OL162098A', 'name': 'Carlo Collodi'}]"
The Night Before Christmas,"Santa in juvenile prison,Juvenile poetry,Poetry,Santa Claus,Christmas,Christmas poetry,American poetry,Narrative poetry,Children's poetry, American,American Narrative poetry,Glow-in-the-dark books,Specimens,Christmas, poetry,Children's poetry,Santa claus, poetry,Poetry, juvenile,Children's fiction,Christmas, fiction,Picture books,Toy and movable books,Miniature books,Picture puzzles,American Manuscripts,Manuscripts,Facsimiles,Sound effects books,New York Times bestseller,nyt:picture_books=2011-04-16,JUVENILE FICTION / Holidays & Celebrations / Christmas & Advent,JUVENILE FICTION / Holidays & Celebrations / General (see also Religious / Christian / Holidays & Celebrations),LEGO toys,JUVENILE FICTION / Stories in Verse,JUVENILE FICTION / Classics,Juvenile literature,Board books,Stories in rhyme,Santa claus, fiction,Pictorial works,Holidays, fiction,JUVENILE FICTION / Religious / Christian / Family,JUVENILE FICTION / Religious / Christian / Holidays & Celebrations,.,Juvenile fiction,Christmas stories,Elmo (Fictitious character : Henson),Scented books,Cats,Fiction,JUVENILE NONFICTION / Poetry / General,Clement C. Moore,Corrine Malvern,Reindeer,Rooftops,Christmas Eve,Calendar,December 25,1822,Fireplace,Toy sack,Toys,Tree,Gifts,Stockings,Spanish language materials,Poesía juvenil,Rabbits,Sign language,Stereograms,Cartoons and comics,Holidays & Celebrations - Christmas & Advent,Children: Grades 1-2,American literature,Coloring books,Poésie de Noël,Deaf, education,Deaf, books for the,Carols,Noëls,Navidad,Poesia,Villancios,Garfield (fictitious character), fiction,Comic books, strips, etc.,Ballet, fiction,Fairy tales","[{'key': '/authors/OL51027A', 'name': 'Clement Clarke Moore'}, {'key': '/authors/OL2675728A', 'name': 'Joyce Patti'}, {'key': '/authors/OL843754A', 'name': 'Corinne Malvern'}, {'key': '/authors/OL227339A', 'name': 'Charles Santore'}, {'key': '/authors/OL7454540A', 'name': 'Cottage Door Press'}, {'key': '/authors/OL7923748A', 'name': 'Sara Gianassi'}, {'key': '/authors/OL2068940A', 'name': 'Donald Mills'}, {'key': '/authors/OL1101655A', 'name': 'Sergio Leone'}, {'key': '/authors/OL3425844A', 'name': 'Florence Sarah Winship'}, {'key': '/authors/OL1522097A', 'name': 'Dana Regan'}, {'key': '/authors/OL216000A', 'name': 'William S. Pelletreau'}, {'key': '/authors/OL6614913A', 'name': 'Mircea Catusanu'}, {'key': '/authors/OL1521150A', 'name': 'John Steven Gurney'}, {'key': '/authors/OL223568A', 'name': 'John Burdick'}, {'key': '/authors/OL218306A', 'name': 'Elizabeth Miles'}, {'key': '/authors/OL4772238A', 'name': 'Tony Tallarico'}, {'key': '/authors/OL36978A', 'name': 'Mary Engelbreit'}, {'key': '/authors/OL249223A', 'name': 'Cyndy Szekeres'}, {'key': '/authors/OL1476146A', 'name': 'Lisbeth Zwerger'}, {'key': '/authors/OL7295830A', 'name': 'Anna Award'}, {'key': '/authors/OL9991869A', 'name': 'R. André'}, {'key': '/authors/OL8067315A', 'name': 'W. w. Denslow'}, {'key': '/authors/OL8067316A', 'name': 'Grace Duffie Boylan'}, {'key': '/authors/OL3511320A', 'name': 'Parragon Books'}, {'key': '/authors/OL8349968A', 'name': 'Henry Fisher'}, {'key': '/authors/OL2980225A', 'name': 'Jeff Bridges'}, {'key': '/authors/OL2623137A', 'name': 'Christian Birmingham'}, {'key': '/authors/OL2659236A', 'name': 'Ted Rand'}, {'key': '/authors/OL3907287A', 'name': 'Ethel Hays'}, {'key': '/authors/OL5416332A', 'name': 'Arthur Rackham'}, {'key': '/authors/OL3231928A', 'name': 'Sue Buswell'}, {'key': '/authors/OL7445006A', 'name': 'Jim Davis'}, {'key': '/authors/OL2686970A', 'name': 'Jim Davis'}, {'key': '/authors/OL117306A', 'name': 'John Speirs'}, {'key': '/authors/OL7670092A', 'name': 'Tess Newall'}, {'key': '/authors/OL288604A', 'name': 'Carlos Reynoso'}, {'key': '/authors/OL790583A', 'name': 'Nan Pollard'}]"
Alice's Adventures in Wonderland / Through the Looking Glass,"adventure and adventurers,adventure and adventurers, fiction,adventure stories,adventure travel,animals,anthropomorphism,artists' illustrated books,books and reading,british and irish fiction (fictional works by one author),child and youth fiction,children,children's fiction,children's literature,children's literature, english,children's stories,children's stories, english,classic literature,classics,croquet,curiosity,curiosity in children,english,english adventure stories,english fantastic fiction,english fantasy fiction,english fantasy literature,english language,english literature,english nonsense verses,fairy tales,fantasy,fantasy & magic,fantasy fiction,fantasy in fiction,fantasy  magic,fiction,friendship,girls,girls, fiction,hookahs,humor,humorous stories,illustrations,imaginary places,imagination & play,juvenile fiction,juvenile literature,legends,literary nonsense,logic,mythical animals,nonsense verses,playing cards,rabbits,readers,reading materials,short novel,tea,texts,Specimens,Textual Criticism,Criticism and interpretation,Open Library Staff Picks,Ficción juvenil,Novela fantástica,Portuguese language materials,Fantasía,History,History and criticism,CHR 1960,PRO Tehon, Susan (donor),Alice (Fictitious character : Carroll),PRO Tehon, Atha (former owner) (Tehon Collection copy),Littérature anglaise,18.05 English literature,Alice (fictitious character : carroll), fiction,Fiction, fantasy, general,Fiction in English,Carroll, lewis, 1832-1898,Large type books,Translations into French,JUVENILE FICTION / Action & Adventure / General,JUVENILE FICTION / Classics,JUVENILE FICTION / Fairy Tales & Folklore / Adaptations,English fiction (collections), 20th century,Rabbits, fiction,English fiction,Picture books,Alice (Fictitious character),Accessible book,Condensed books,Through the looking glass,Alice's adventures in Wonderland (Carroll, Lewis),Through the looking-glass (Carroll, Lewis),Literature,Translations into Polish,Imaginary Voyages,Literatură engleză,Roman,Literatură pentru copii,Novela fantástica inglesa,Traducciones al español,Literatura inglesa,Children's fiction,Fantasy fiction,British and irish fiction (fictional works by one author),Fiction,English Fantasy literature,Flickor,Barn- och ungdomslitteratur,Drömmar,Fantasiresor,Parallella världar,Fairy tales,Fiction, general,Alice (fictitious character : carroll),English Fantasy fiction","[{'key': '/authors/OL22098A', 'name': 'Lewis Carroll'}]"
El Libro de la selva / The Jungle Book,"Novela inglesa,Traducciones al español,Jungles,Fiction,Juvenile fiction,Animals,Romans, nouvelles, etc. pour la jeunesse,Novela juvenil,Selvas,Animales,Jungle animals,Mowgli (Fictitious character),Boys,Short stories,Feral children,English Adventure stories,Children's stories, English,Folklore,Legends and stories of Animals,Legends,Children's stories, American,India,Long Now Manual for Civilization,Wild children,Mowgli (Fictitious character) -- Fiction,Adventure stories, English,Jungle animals -- Fiction,Feral children -- Fiction,Boys -- Fiction,India -- Fiction,Children: Grades 1-2,Mongooses,Children's fiction,Jungles, fiction,Jungle animals, fiction,Mowgli (fictitious character), fiction,India, fiction,Stories,Boys, fiction,Adventure and adventurers, fiction,British and irish fiction (fictional works by one author),Drama (dramatic works by one author),Animals, fiction,Faune de la jungle,Romans, nouvelles,Enfants sauvages,Garçons,Histoires pour enfants anglaises,Adventure stories,English literature,History,Classic Literature,Juvenile Fiction,Mowgli (Personnage fictif),Animaux,Romans,Human-animal relationships,Juvenile literature,Animals -- Fiction,Jungles -- Fiction,nyt:hardcover-graphic-books=2009-04-05,New York Times bestseller,Readers,Reporters and reporting,Picture books,Children, fiction,Graphic novels,Comic books, strips,Children's stories,Spanish language materials,Ficción juvenil,Animales de jungla,English fiction,English Short stories","[{'key': '/authors/OL24461A', 'name': 'Rudyard Kipling'}, {'key': '/authors/OL3027982A', 'name': 'Carl Bowen'}, {'key': '/authors/OL6717188A', 'name': 'Gerardo Sandoval'}, {'key': '/authors/OL7621949A', 'name': 'Benny Fuentes'}, {'key': '/authors/OL8040162A', 'name': 'John Lockwood Kipling'}, {'key': '/authors/OL9304578A', 'name': 'Stéphane Mourgues'}, {'key': '/authors/OL9304579A', 'name': 'Geneviève Debeuré-De Jongh'}, {'key': '/authors/OL9304580A', 'name': 'Jean-Claude Henryot'}, {'key': '/authors/OL4020792A', 'name': 'Brigitte Zaugg'}, {'key': '/authors/OL3449803A', 'name': 'Maurice Wilson'}, {'key': '/authors/OL8116652A', 'name': 'Rafael Mayani'}, {'key': '/authors/OL8606352A', 'name': 'Virginie Clauzel'}, {'key': '/authors/OL3683845A', 'name': 'Nicola Butler'}, {'key': '/authors/OL10473377A', 'name': 'Clapton Commons Clapton Commons Publishing'}, {'key': '/authors/OL7949809A', 'name': 'Alex Fabrizio'}, {'key': '/authors/OL9613404A', 'name': 'Aberdeen Press'}, {'key': '/authors/OL3166914A', 'name': 'Karl Simrock'}, {'key': '/authors/OL7336543A', 'name': 'Jessica Swale'}, {'key': '/authors/OL8290396A', 'name': 'Joe Stilgoe'}, {'key': '/authors/OL896947A', 'name': 'Janice Greene'}, {'key': '/authors/OL1387285A', 'name': 'Brigitte Juanals'}, {'key': '/authors/OL3961692A', 'name': 'Gwen Keraval'}, {'key': '/authors/OL1031897A', 'name': 'Michael Page'}, {'key': '/authors/OL2902246A', 'name': 'Norman Nodel'}, {'key': '/authors/OL10310698A', 'name': 'Classic Reads'}, {'key': '/authors/OL8031922A', 'name': 'Francisca Marquez'}, {'key': '/authors/OL9304575A', 'name': 'Stéphane Mourgues'}, {'key': '/authors/OL9304576A', 'name': 'Geneviève Debeuré-De Jongh'}, {'key': '/authors/OL9304577A', 'name': 'Jean-Claude Henryot'}, {'key': '/authors/OL3377978A', 'name': 'Liz Miles'}, {'key': '/authors/OL8092556A', 'name': 'Giovanni Pota'}, {'key': '/authors/OL5487424A', 'name': 'Dave Gibbons'}, {'key': '/authors/OL7546150A', 'name': 'Nik Marcel'}, {'key': '/authors/OL3113990A', 'name': 'Louis Fabulet'}, {'key': '/authors/OL9236603A', 'name': ""Robert d'Humieres""}]"
Heidi,"Johanna Spyri,Shirley Temple,Movie tie-in,Children,Babies,Toddlers,Grades 3-4,Children's,Kid's,Juvenile,Adult,Fiction,Classic,Literature,Stories,Story,Book,Picture Books,Chapter books,Hardcover,Paperback,Braille,Audio book,e-book,Family,5 Year old,Orphan,Heidi (fictional character),Grandfather,Nature,Love of nature,Goats,Mountain life,Swiss Alps,Swiss (German),History,Invalids,Grandfathers,Juvenile fiction,Orphans,Children's fiction,Grandparents, fiction,Orphans, fiction,Switzerland, fiction,Fiction, general,Girls, fiction,Large type books,Grandparent-grandchild relationship,Juvenile literature,Switzerland,Alps, fiction,Family life, fiction,Short stories,Heidi (Fictitious character : Spyri),Grandparent and child","[{'key': '/authors/OL6918335A', 'name': 'Johanna Spyri'}]"
The Very Hungry Caterpillar (Storytime Giants),"Children's fiction,Caterpillars, fiction,Toy and movable books,Fiction,Caterpillars,German language materials,Italian language materials,Specimens,Translations into Chinese,Chinese language edition,Caterpillar,Translations into Vietnamese,Metamorphosis,Spanish language materials,Children's stories, American,Open Library Staff Picks,Children's stories, English,Butterflies,Juvenile,Juvenile fiction,Board books,Translations into Urdu,Children's stories, Chinese,Libros de juguete y movibles,Muestras,Orugas,Especímenes,Novela juvenil,Libros de juguete y móviles,Butterflies, fiction,Picture books for children,Flowers, fiction,Fiction..,Littérature de jeunesse anglaise,Chenilles,Caterpillers,Papillons,Metamorphis,Ouvrages illustrés,Métamorphose,nyt:picture-books=2009-04-05,New York Times bestseller,Metamorfosis (Biología),Mariposas,Ficción juvenil,Bilingual,Child and youth fiction,Picture books,Animals,Children's stories,Pictorial works,Touch,Textured books,Histoires pour enfants,Livres tout carton,Toucher,Livres tactiles,Children's Books/Baby-Preschool,Espagnol (langue),Ouvrages pour la jeunesse","[{'key': '/authors/OL34330A', 'name': 'Eric Carle'}, {'key': '/authors/OL3671120A', 'name': 'Cynthia Saunders Davies'}, {'key': '/authors/OL7921737A', 'name': 'Esther Rubio Muñoz'}]"
Guess How Much I Love You,"Fiction,Juvenile fiction,Love,Fathers and sons,Bedtime,Hares,Ficción juvenil,Padre e hijo,Hora de acostarse,Amor,Specimens,Conejos,Amour,Ouvrages pour la jeunesse,Vietnamese language materials,Bilingual,Board books,Children's picture book,Pictorial works,Animals,Rabbits,Children's picture books,Children's stories, English,Translations into German,Drama,Juvenile films,Parent and child,Spring,Children's fiction,Fathers and sons, fiction,Bedtime, fiction,Love, fiction,Rabbits, fiction,Colors,Emotions, fiction,Picture books,Toy and movable books,Parent and infant,Romance fiction,Romance-language fiction,Blind,Books and reading,Love stories,Adventure and adventurers, fiction,Russian language,Russian language materials,Children's books,Eltern,Kind,Liebe,Feldhase,Children's Books/Ages 4-8 Fiction,Social Issues - Emotions & Feelings,Children: Preschool,Animals - Rabbits,Family - General,Juvenile Fiction / Classics,Classics,Humorous Stories,Children's Books/Baby-Preschool,Children: Kindergarten,Bedtime & Dreams,Family - Parents,Children's Baby - Boardbooks,Juvenile Fiction / Bedtime & Dreams,Preschool Picture Story Books,Juvenile Fiction,Juvenile Fiction / Social Situations / Emotions & Feelings,Translations into Irish,American fiction,Social Situations - Emotions & Feelings,Children's Audio - 4-8,Toys, Dolls, & Puppets,Audio - Children's,France, fiction,Orphans, fiction,Spies, fiction,Rider, alex (fictitious character), fiction,Child and youth fiction,Non-classifiable,Animals, fiction,Picture books for children","[{'key': '/authors/OL34796A', 'name': 'Sam McBratney'}, {'key': '/authors/OL222412A', 'name': 'Anita Jeram'}, {'key': '/authors/OL9288892A', 'name': 'Anita Jeram'}, {'key': '/authors/OL4115408A', 'name': 'Rolf Inhauser'}, {'key': '/authors/OL9323233A', 'name': 'Josune Muñoz Skolastika'}, {'key': '/authors/OL8310710A', 'name': 'Evgenia Kanishcheva'}, {'key': '/authors/OL529210A', 'name': 'Ian Shapiro'}, {'key': '/authors/OL9323232A', 'name': 'Josune Muñoz Skolastika'}, {'key': '/authors/OL9323234A', 'name': 'Josune Muñoz Skolastika'}, {'key': '/authors/OL9323235A', 'name': 'Josune Muñoz Skolastika'}]"
The tale of Jemima Puddle-Duck,"Fiction,Juvenile fiction,Domestic animals,Rabbits,Ducks,Foxes,Dogs,Toy and movable books,Dogs in fiction,Spanish language materials,French language materials,Ducks in fiction,Specimens,Domestic animals in fiction,Animals,Foxes in fiction,Children's stories, English,Ficción juvenil,Patos,Animals in fiction,Animal stories,Lexile,Behavior,Accelerated reader,Children's fiction,Behavior, fiction,Pictorial works,Jemima Puddle-Duck (Fictitious character),Readers (Elementary),Readers (Primary),Sound effects books,Geese,Novela juvenil,Gansos,Animales dome sticos,Festivals, fiction,Ducks, fiction,Domestic animals, fiction,Farm life, fiction,Picture books for children,Picture books,French language, textbooks for children,French language, readers,Foxes, fiction,Dogs, fiction","[{'key': '/authors/OL32541A', 'name': 'Beatrix Potter'}, {'key': '/authors/OL3458871A', 'name': 'Colin Twinn'}, {'key': '/authors/OL7548358A', 'name': 'H.Y. Xiao PhD'}]"
